trip_id,start_time,end_time,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthyear
25773853,2019-11-25 08:35:52,2019-11-25 08:42:28,1904,395.0,347,Ashland Ave & Grace St,114,Sheffield Ave & Waveland Ave,Subscriber,Female,1977.0
25778776,2019-11-25 17:31:13,2019-11-25 17:34:29,3453,196.0,67,Sheffield Ave & Fullerton Ave,343,Racine Ave & Wrightwood Ave,Subscriber,Male,1984.0
25772917,2019-11-25 07:49:29,2019-11-25 08:08:07,369,"1,117.0",331,Halsted St & Clybourn Ave,192,Canal St & Adams St,Subscriber,Female,1987.0
25780897,2019-11-25 20:20:17,2019-11-25 20:28:36,3013,499.0,332,Burling St (Halsted) & Diversey Pkwy (Temp),166,Ashland Ave & Wrightwood Ave,Subscriber,Male,1990.0
25773589,2019-11-25 08:21:40,2019-11-25 08:28:26,2838,405.0,48,Larrabee St & Kingsbury St,337,Clark St & Chicago Ave,Subscriber,Male,1997.0
25776016,2019-11-25 14:08:35,2019-11-25 14:24:29,2215,953.0,6,Dusable Harbor,38,Clark St & Lake St,Subscriber,Male,1968.0
25772969,2019-11-25 07:52:52,2019-11-25 08:14:03,5779,"1,271.0",141,Clark St & Lincoln Ave,7,Field Blvd & South Water St,Subscriber,Female,1989.0
25780518,2019-11-25 19:24:46,2019-11-25 19:53:55,6370,"1,748.0",58,Marshfield Ave & Cortland St,325,Clark St & Winnemac Ave,Subscriber,Female,1977.0
25774967,2019-11-25 11:11:21,2019-11-25 11:25:20,6208,838.0,39,Wabash Ave & Adams St,98,LaSalle St & Washington St,Subscriber,Male,1985.0
25772533,2019-11-25 07:24:23,2019-11-25 07:35:56,4852,693.0,66,Clinton St & Lake St,26,McClurg Ct & Illinois St,Subscriber,Male,1965.0
25772842,2019-11-25 07:45:01,2019-11-25 08:03:51,5087,"1,130.0",183,Damen Ave & Thomas St (Augusta Blvd),164,Franklin St & Lake St,Subscriber,Female,1995.0
25774596,2019-11-25 09:39:18,2019-11-25 09:56:17,4444,"1,019.0",225,Halsted St & Dickens Ave,112,Green St & Randolph St,Subscriber,Male,1987.0
